os,cpu,gpu,ram,kernel,driver,cpuscheduler
Omarchy,AMD Ryzen 9 5900X 12-Core Processor,NVIDIA GeForce RTX 3070,40963824,7.2.5-3-omarchy,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
98.0845,10.1953,15.9968,0,99,67,62,1890,6801,4.80865,215,13.3659,0,0,4654,256442562888
103.37,9.67402,15.9968,0,99,67,62,1890,6801,4.80865,215,13.3659,0,0,4654,256542645153
99.8448,10.0155,15.9968,0,99,67,62,1890,6801,4.80865,215,13.3659,0,0,4654,256642705407
109.837,9.1044,15.9968,0,99,67,62,1890,6801,4.80865,215,13.3659,0,0,4654,256742785102
98.7194,10.1297,15.9968,0,99,67,62,1890,6801,4.80865,215,13.3659,0,0,4654,256842868166
100.101,9.98987,16.1672,0,99,67,62,1890,6801,4.80865,215,13.366,0,0,4746,256942954901
104.074,9.60859,16.1672,0,99,67,62,1890,6801,4.80865,215,13.366,0,0,4746,257043037385
99.5851,10.0417,16.1672,0,99,67,62,1890,6801,4.80865,215,13.366,0,0,4746,257143167080
99.3734,10.0631,16.1672,0,99,67,62,1890,6801,4.80865,215,13.366,0,0,4746,257243256794
101.036,9.89747,16.1672,0,99,67,62,1890,6801,4.80865,215,13.366,0,0,4746,257343345589
105.37,9.49034,16.1442,0,99,67,62,1890,6801,4.80865,219,13.368,0,0,4674,257443449513
94.9691,10.5297,16.1442,0,99,67,62,1890,6801,4.80865,219,13.368,0,0,4674,257543535828
105.81,9.4509,16.1442,0,99,67,62,1890,6801,4.80865,219,13.368,0,0,4674,257643627582
96.0906,10.4068,16.1442,0,99,67,62,1890,6801,4.80865,219,13.368,0,0,4674,257743727427
109.785,9.10868,16.1442,0,99,67,62,1890,6801,4.80865,219,13.368,0,0,4674,257843816791
96.9507,10.3145,15.9055,0,99,66,63,1890,6801,4.80865,220,13.3669,0,0,4724,257943898476
101.632,9.83945,15.9055,0,99,66,63,1890,6801,4.80865,220,13.3669,0,0,4724,258043977930
96.5152,10.3611,15.9055,0,99,66,63,1890,6801,4.80865,220,13.3669,0,0,4724,258144061175
99.9837,10.0016,15.9055,0,99,66,63,1890,6801,4.80865,220,13.3669,0,0,4724,258244146779
109.004,9.17398,15.9055,0,99,66,63,1890,6801,4.80865,220,13.3669,0,0,4724,258344250834
110.383,9.05935,16.2717,0,99,66,63,1890,6801,4.80865,221,13.3716,0,0,4700,258444335448
104.627,9.55773,16.2717,0,99,66,63,1890,6801,4.80865,221,13.3716,0,0,4700,258544416753
98.5113,10.1511,16.2717,0,99,66,63,1890,6801,4.80865,221,13.3716,0,0,4700,258644501547
